# Generated 2019-12-25 13:45:31.667776
count,subdomain
16163051,www
6486797,*
3785123,mail
2884760,webmail
2714334,cpanel
2711723,webdisk
1474999,autodiscover
1001099,sni
193042,test
166449,dev
154143,com
147403,m
116465,blog
99982,staging
95114,vpn
90410,shop
74385,api
72495,whm
70891,demo
63233,ftl
52819,admin
52344,store
46196,tls
45571,storage
44647,app
41118,database
38627,ipv6
38377,cloud
37701,beta
33687,ftp
32386,web
30700,multidomain-prober
30488,magento
30221,smtp
30062,azurecertificateservice
29138,prod
28259,new
27960,1
27099,mobile
26126,old
24543,p
24020,www.test
23900,acmeproxy-md
23867,support
23755,core
22781,eu
22701,us
22638,secure
22462,wp
21863,mdp
21803,en
21719,www.dev
21528,cdn
20656,in
20644,www.blog
20439,forum
20408,wap
20036,stage
18991,crm
18515,portal
18180,*.1
17837,gameflex
17836,mgames
17724,wordpress
17625,liveupdate
17114,redirect
16837,worker
16709,pop
15695,www.mail
15666,static
14779,es
14547,r
14530,org
14235,ssl
14219,wiki
13869,office
13803,imap
13734,co
13560,net
13449,www.shop
13288,us3
13223,media
12860,qa
12773,de
12684,my
12679,anycast
12674,*.r
12667,sandbox
12651,git
12636,*.prod.ftl
12636,*.ftl
12636,anycast.ftl
12636,*.staging.ftl
12141,home
11863,email
11799,www.m
11722,news
11686,fr
11652,server
11536,preview
11416,us2
11223,www.demo
11201,chat
11193,remote
11150,apps
11042,www.beta
10966,autoconfig
10955,uk
10918,ba
10509,*.blog
10501,br
10418,info
10308,*.ba
10196,cms
10187,mds
10010,kafka
10005,us-east-1
9819,testing
9750,ss
9746,sitechecklist
9734,usdemo
9733,postgres
9697,status
9514,eu2
9300,acmeproxy-md-dev
9127,login
9085,a
9016,azurewebsites
8983,site
8920,www.new
8761,scm
8729,help
8648,blob
8642,uat
8638,registry
8596,sunshop
8458,go
8420,mx
8242,geneva
8239,ru
8188,aws
8187,dashboard
8161,metricsclient
8115,i
8107,gitlab
8103,docs
8090,img
7940,files
7938,www2
7936,account
7843,file
7827,intranet
7760,mcasino
7747,phpmyadmin
7647,tools
7642,nl
7525,jp
7512,preprod
7478,www.staging
7369,containers
7341,it
7304,cloudapp
7298,clients
7200,admin-eu
7118,sites
7080,cn
7079,stats
7066,catalog
7062,queue
6923,staging1
6885,www.webmail
6863,table
6789,mysql
6703,live
6581,cicd
6508,images
6375,cart
6352,nextcloud
6338,au
6255,members
6176,bot
6160,www.store
6150,builder
6130,dfs
6123,sd2
6101,www.admin
6062,control
6045,admin-us
5951,c4
5937,stg
5803,www.app
5740,service
5736,online
5702,testonly
5688,photos
5667,secretstore
5666,testonly.secretstore
5659,pop3
5658,virtd
5605,video
5601,oca
5598,panel
5591,sip
5579,deb-web-api
5576,gmb
5559,*.1.oca
5544,samlspsso
5543,loja
5508,s1
5489,gmnconfirmacion
5481,lab
5473,s
5462,jobs
5438,pages
5423,*.www
5417,development
5373,ca
5332,sg
5326,hostmaster
5277,admin-us2
5176,people
5122,cp
5108,www.api
5104,client
5093,*.us
5077,data
5074,qualitylearning
5041,download
5032,auth
5020,int
5014,poczta
4926,www.forum
4914,web04
4913,web01
4902,db
4873,www.sitechecklist
4873,assets
4870,portfolio
4827,gallery
4794,vinz
4787,services
4744,hosting
4736,dev2
4668,projects
4650,lp
4586,erp
4563,t
4560,c1
4551,*.mail
4523,events
4500,at
4488,search
4469,www.old
4442,www.cloud
4423,test2
4422,2
4408,backup
4393,trakal
4392,staging2
4362,corp
4358,teste
4352,host
4313,pt
4228,jenkins
4218,mail.mail
4212,www.support
4208,cb-gclb-test-prod
4186,pma
4166,*.us3
4159,apjdemo
4152,c
4124,analytics
4100,newsletter
4085,metricsclient.geneva.core
4084,mbox
4079,internal
4070,ui
4060,si
4060,tw
4053,www.crm
4048,edu
4008,training
3996,*.eu
3989,server1
3986,us-west-2
3980,zeus
3956,k8s
3941,owa
3930,v2
3915,billing
3909,mboss
3907,web03
3881,update
3832,pl
3828,sms
3812,tv
3793,*.us2
3785,helpdesk
3771,www.en
3757,connect
3745,vps
3743,forums
3729,magento2
3720,next
3693,grafana
3670,owncloud
3665,win-sg.staging
3665,win-sg
